Date,Year,Event Type,Perpetrator,Country,Location,Latitude,Longitude,Fatalities,Summary
8-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Oke-Ikpe,4.913,7.3194,0,"On 8 July 2020, unidentified gunmen abducted a former customary court judge in Oke-Ikpe (Ukwa West LGA, Abia)."
9-Jul-20,2020,Attack,Boko Haram - JAS,Niger,Kindjandi,13.7379,12.9311,1,"On 9 July 2020, suspected Boko Haram (JAS) militants abducted 15 people, including 1 woman and 3 girls, in Kindjandi (Diffa, Diffa). 1 person was killed, 13 hostages released, and 2 kept in captivity."
9-Jul-20,2020,Attack,Islamic State (Greater Sahara),Niger,Ayorou,14.7326,0.9109,1,"On 9 July 2020, suspected ISGS militants attacked two Fulani Djelgobe tribal leaders in Ayorou (Ayorou, Tillaberi). One was killed and the other severely wounded."
9-Jul-20,2020,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - JAS,Niger,Njibouloua,14.0397,13.0135,0,"On 9 July 2020, presumed ISWAP or Boko Haram militants abducted between 5 and 9 people (a majority women and children), pillaged a campsite, and seized livestock in Njibouloua (N'Guigmi, Diffa)."
9-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Amchide,11.2426,14.1372,1,"On 9 July 2020, Boko Haram attacked Amchide village (Mayo-Sava, Extreme-Nord), killing one person and injuring 2 others. They also took away goods."
9-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Limani,11.2331,14.1711,0,"On 9 July 2020, Boko Haram attacked Limani village (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported."
9-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Baga,13.0947,13.8234,12,"On 9 July 2020, Boko Haram attacked a military position in Baga (Kukawa LGA, Borno) and was repelled by MNJTF soldiers with close air support. 12 BH fighters were killed and weapons seized."
9-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Okehi,5.1361,7.1357,1,"On 9 July 2020, unidentified gunmen killed a youth leader of Umuebule in Etche LGA (Rivers)."
10-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Niger,Kiri Kiri,13.7812,13.3813,4,"Around 10 July 2020 (as reported), presumed ISWAP or Boko Haram militants killed 4 fishermen near Kiri Kiri (Diffa, Diffa)."
10-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Mussa,10.7298,13.1351,3,"On 10 July 2020, Boko Haram attacked Mussa in Askira Uba LGA (Borno), killed 3 residents, looted the village and set houses ablaze."
10-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Chad,Kaiga,13.3833,14.5333,11,"On 10 July 2020, Boko Haram/IS claimed to have ambushed Chadian Armed Forces on the Kaiga-N'Gouboua road (coded as Kaiga, Mamdi, Lac). 11 soldiers were reported killed and several wounded."
10-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Baga,13.0947,13.8234,20,"On 10 July 2020, Boko Haram attacked Nigerian Armed Forces at Baga (Kukawa LGA, Borno) and killed about 20 soldiers."
10-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Gamboru,12.373,14.2069,15,"On 10 July 2020, Boko Haram/IS claimed to have attacked a military position near Gamboru (Ngala LGA, Borno) and killed about 15 soldiers."
10-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Isinbode,7.6835,5.6241,0,"On 10 July 2020, unidentified gunmen attacked Isinbode Ekiti in Ekiti East LGA (Ekiti), shooting the driver of a government official and abducting 3 people, including the official."
10-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Kurdula,13.575,4.3688,0,"Around 10 July 2020 (as reported), unidentified gunmen entered Kurdula (Gudu LGA, Sokoto) and abducted the district chief along with a trader."
10-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Gwazunu,10.2512,7.2884,0,"Around 10 July 2020 (as reported), unidentified gunmen engaged in a gun battle with Nigerian Armed Forces at Gwazunu (Chikun LGA, Kaduna) during an attempt to abduct villagers."
12-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Mayo Moskota,11.1333,14.05,0,"On 12 July 2020, Boko Haram attacked and destroyed a military post in Hitere village, Mayo Moskota subdivision (Mayo-Sava, Extreme-Nord). They kidnapped one child as they left."
12-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Jalingo,8.8833,11.3667,0,"On 12 July 2020, unidentified gunmen abducted the Chief Imam in Jalingo (Jalingo LGA, Taraba)."
12-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Chikun,10.2691,7.1085,2,"On 12 July 2020, unidentified gunmen mounted a roadblock at Danbushiya in Chikun LGA (Kaduna), killed 2 residents and abducted 20."
13-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Kolori,12.8912,14.0292,2,"On 13 July 2020, ISWAP clashed with Nigerian Armed Forces at Kolori (Monguno LGA, Borno). 2 soldiers were killed."
13-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Komala,11.4879,12.9658,8,"On 13 July 2020, ISWAP ambushed a military convoy at Komola (Konduga LGA, Borno) and killed between 8 and 50 soldiers."
13-Jul-20,2020,Looting/property destruction,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Gambarou,12.4875,14.445,0,"On 13 July 2020, Boko Haram looted several shops and a cattle market in Gambarou village (Logone-Et-Chari, Extreme-Nord). No fatality and/or casualty reported."
13-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Mayo Moskota,11.1333,14.05,1,"On 13 July 2020, Boko Haram attacked Hitere village, Mayo Moskota subdivision (Mayo-Sava, Extreme-Nord), killing one person."
13-Jul-20,2020,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - JAS,Niger,Alla N'Glaro,13.4497,12.8035,0,"On 13 July 2020, presumed ISWAP or Boko Haram militants abducted 6 people in the village of Alla N'Glaro [Boula Kiassa] (Diffa, Diffa)."
13-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Zigague,11.6828,14.6485,1,"On 13 July 2020, Boko Haram attacked Zigague village (Logone-Et-Chari, Extreme-Nord), resulting in a fire fight with the army's rapid intervention battalion. One civilian was killed by the assailants and another injured. They also briefly kidnapped two villagers."
13-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Jakana,11.6651,14.041,0,"On 13 July 2020, Boko Haram/IS ambushed a civilian-military convoy at Jakana (Bama LGA, Borno) on the Maiduguri-Damaturu road. 15 civilians abducted, while casualties were unclear."
13-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Maiduguri,11.8464,13.1603,3,"On 13 July 2020, Boko Haram attacked military barracks in Maiduguri (Maiduguri LGA, Borno) and engaged Nigerian Armed Forces in a gun battle. Several residents were reported killed. Several fatalities coded as 3."
14-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Mainok,11.8288,12.6345,4,"Around 14 July 2020 (as reported), Boko Haram ambushed a military convoy at Kongiri, near Mainok (Kaga LGA, Borno). 4 soldiers were killed and military equipment looted."
14-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Karim Lamido,9.3,11.2,0,"Around 14 July 2020 (as reported), unidentified gunmen abducted the former Senator for Taraba North in Karim (Karim Lamido LGA, Taraba)."
15-Jul-20,2020,Attack,Islamic State (West Africa),Niger,Boulangouri,13.3658,12.6351,4,"On 15 July 2020, presumed ISWAP militants abducted 5 young men who reportedly failed to be recruited into the army in Boulangouri (Diffa, Diffa). 4 were executed while 1 escaped."
15-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Tchebe-Tchebe,11.0024,13.832,3,"On 15 July 2020, the military forces engaged in a firefight with Boko Haram in Tchebe-Tchebe village (Mayo-Tsanaga, Extreme-Nord). Three Boko Haram fighters were killed."
15-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Dikwa,12.024,13.9165,0,"On 15 July 2020, suspected members of an unknown NSAG attacked 2 people close to Gore in Dikwa LGA (Borno). 1 person is missing."
16-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Gambarou,12.4875,14.445,0,"On 16 July 2020, Boko Haram attacked Gambarou village (Logone-Et-Chari, Extreme-Nord), injuring two people and looting a house."
16-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Amchide,11.2426,14.1372,0,"On 16 July 2020, Boko Haram attacked Amchide village (Mayo-Sava, Extreme-Nord) injuring one person and taking away a bicycle and two cell phones."
16-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Ajiri,12.094,13.4582,2,"On 16 July 2020, Boko Haram/IS claimed to have attacked a position of the Nigerian Armed Forces at Ajiri (Mafa, Borno). 2 soldiers were killed and several wounded. Weapons were seized."
16-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Dikwa,12.024,13.9165,0,"On 16 July 2020, unidentified gunmen clashed with military forces during an attack on Afunori in Dikwa LGA (Borno). The armed group looted from civilians in the village."
17-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Niger,Abdou Ngaram,14.3066,13.1556,0,"On 17 July 2020, presumed ISWAP or Boko Haram militants attacked the village of Abdou Ngaram (N'Guigmi, Diffa), and were repelled by villagers. No casualties reported."
17-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Eha Amufu,6.6592,7.7596,0,"On 17 July 2020, unidentified gunmen abducted a Catholic priest on his way from Eha-Amufu (Isi-Uzo LGA, Enugu). He was later released."
18-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Bovtari,10.8866,12.946,3,"On 18 July 2020, Boko Haram attacked Bovtari in Kuburmbula ward of Chibok LGA (Borno), killed 3 farmers and injured 10 others."
18-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Kaduna,10.5222,7.4383,0,"On 18 July 2020, unidentified gunmen abducted 6 residents in Kaduna (Kaduna LGA, Kaduna), among them a police officer."
19-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Mozogo,10.9638,13.9065,0,"On 19 July 2020, armed men (assumed Islamic State/Boko Haram fighters) attacked Mozogo village (Mayo-Tsanaga, Extreme-Nord), injuring some villagers and taking away sheep."
19-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Mora,11.0485,14.1476,1,"On 19 July 2020, Boko Haram attacked a military post in Touski village, near Mora (Mayo-Sava, Extreme-Nord), killing one soldier."
19-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Damasak,13.0977,12.4952,8,"Around 19 July 2020 (as reported), Boko Haram attacked a military camp at Damasak (Mobbar LGA, Borno) and was repelled by Nigerian Armed Forces. 8 BH commanders were killed in the clashes."
19-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Kore,12.3597,8.7425,0,"On 19 July 2020, unidentified gunmen abducted the daughter of an Assembly Member in Kore (Dambatta LGA, Kano), during a raid on the member's residence. He was not present at the time of the raid."
19-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Kagara,10.1844,6.2534,0,"On 19 July 2020, unidentified armed men abducted sixteen residents in Rafi LGA (Niger)."
19-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Gassol,8.5333,10.4667,2,"On 19 July 2020, unidentified armed men kidnapped and killed two men from a vigilante militia in Gassol (Gassol, Taraba)."
19-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Ungwan Tabo,11.3253,8.0835,0,"On 19 July 2020, unidentified gunmen attacked Unguwar Tabo (Ikara LGA, Kaduna) but were repelled by Nigerian Armed Forces."
19-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Mutum Biyu,8.6333,10.7667,2,"Around 19 July 2020 (as reported), communal militias from Mutum Biyu (Gassol LGA, Taraba) chased unidentified gunmen to a nearby forested area to rescue a woman that was abducted earlier in the village. 2 communal militiamen were killed in the clash."
20-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Mora,11.0485,14.1476,1,"On 20 July 2020, members of a local vigilance group engaged in a firefight with Boko Haram in Akzawaya village, around Mora (Mayo-Sava, Extreme-Nord). One Boko Haram fighter was killed."
20-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Kordo,11.25,13.999,1,"On 20 July 2020, Boko Haram attacked Kordo village (Mayo-Sava, Extreme-Nord). They killed one person and looted 3 houses, taking away a bicycle, clothes and foodstuffs."
20-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Damboa,11.156,12.7576,3,"On 20 July 2020, Boko Haram ambushed a patrol of the Nigerian Armed Forces on the Maiduguri-Damboa road (coded as Damboa LGA, Borno). NAF received close air support and killed several BH fighters. Several fatalities coded as 3."
20-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Galadima Kogo,10.0772,6.8854,1,"On 20 July 2020, about 100 unidentified gunmen attacked Nakudna Village in Galadima Kogo area of Shiroro LGA (Niger). 1 person was killed, many injured and 1000 cows rustled."
21-Jul-20,2020,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Maloumri,11.1021,14.0362,0,"On 21 July 2020, military forces engaged in a firefight with Boko Haram in Maloumri village (Mayo-Sava, Extreme-Nord). No fatality and/or casualty reported."
21-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Kundav,7.4356,9.6127,1,"Around 21 July 2020 (as reported), unidentified gunmen killed the District Head of Kundav ward at his brothe'rs home in Ukum LGA (Benue). 1 person was injured."
21-Jul-20,2020,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),Nigeria,Ugwati,5.0397,7.2749,0,"On 21 July 2020, unidentified gunmen abducted the community leader of Ugwati (Ukwa West LGA, Abia)."
22-Jul-20,2020,Remote explosive/landmine/IED,Islamic State (West Africa),Nigeria,Monguno,12.6786,13.6079,0,"On 22 July 2020, ISWAP targeted a Red Cross Vehicle on a road connecting Monguno and Gajiram towns in Borno state using an improvised explosive device (IED). Reports suggest that several people were either wounded or killed. Casualties reported."
22-Jul-20,2020,Armed clash,Islamic State (West Africa),Cameroon,Mora,11.0485,14.1476,0,"On 22 July 2020, ISWAP fighters attacked an MNJTF base in Woulgo village (assumed within Extreme-Nord), resulting in a firefight with the military. No fatality and/or casualty reported."
22-Jul-20,2020,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - JAS,Niger,NGuigmi,14.2495,13.1092,0,"On 22 July 2020, presumed ISWAP or Boko Haram militants abducted a merchant in the Kanembouri quarter of NGuigmi (N'Guigmi, Diffa)."
